120,4,brzina,kmph,promena
3528,299,2,46,2
2666,183,3,53,1
1462,238,5,86,1
3964,201,2,51,2
3754,95,4,78,2
3523,96,4,82,2
2270,87,4,52,0
3700,252,3,48,2
3919,244,2,24,2
1585,221,2,43,1
3319,278,2,34,2
3052,62,3,55,2
3533,141,4,80,2
3581,152,4,85,2
2593,238,3,57,1
3241,50,2,21,2
2266,76,5,84,1
3646,107,1,6,2
2082,68,3,60,1
3490,204,4,83,2
3404,59,1,3,2
1856,78,1,1,0
1826,163,4,53,0
3013,109,2,26,2
1823,60,5,78,1
1359,50,3,37,0
1118,238,4,60,1
2072,210,2,42,1
919,286,2,29,2
1005,163,1,11,0
3048,295,2,48,2
2152,160,2,19,0
2432,148,5,101,1
2609,179,2,51,1
3426,172,1,29,2
3053,150,1,20,2
3637,230,4,69,2
2092,65,4,51,0
963,76,1,15,1
3432,155,5,91,2
3614,254,5,70,2
2731,284,3,56,2
837,239,4,52,0
1081,124,1,4,0
1112,75,3,54,1
2291,90,2,19,0
1446,191,3,63,1
1334,186,4,83,1
3694,105,1,23,2
2017,67,2,23,0
2812,229,4,55,0
1703,116,5,69,0
1433,267,2,44,2
3959,118,2,38,2
2196,249,3,34,0
2522,71,4,72,1
1703,237,5,100,1
3534,293,2,41,2
2755,132,5,101,1
3952,282,2,46,2
2053,133,2,21,0
3966,265,4,51,2
1569,165,4,69,1
2719,60,5,101,1
1622,215,4,78,1
1795,77,3,56,1
3882,290,5,88,2
1976,295,4,77,2
2318,274,3,49,2
858,290,2,36,2
1170,79,4,74,1
2794,221,3,64,1
1061,205,4,59,0
3216,169,4,83,2
2478,216,1,24,1
3649,156,4,53,2
3459,64,1,25,2
1757,180,4,65,1
3341,186,3,65,2
3127,196,5,80,2
2168,67,3,39,0
2371,257,1,25,2
2586,149,4,68,1
3468,171,1,19,2
2581,96,1,16,1
2789,265,1,5,2
3321,190,3,67,2
3284,92,3,55,2
2609,168,5,80,1
2485,171,1,32,1
3758,266,4,60,2
2169,232,4,55,0
2985,137,3,45,2
1977,171,1,12,0
2967,279,2,26,2
1581,194,5,85,1
1339,181,1,6,0
3693,193,5,98,2
3060,65,4,82,2
